name,W_statistic,p_value
Zahl,7,0.4928108968427015
Shannon,3,0.10953097167792722
ChaoEstimate,0,0.21129954733371048
sequenceCount,1,0.0402386771197594
haplotypeCount,0,0.02063755824397219
